CompoundName,SeverityClass,LabelSection,vDILI-Concern
Etoposide,3,Adverse reactions,vLess-DILI-concern
Etravirine,8,Warnings & precautions,vMost-DILI-concern
Everolimus,4,Adverse reactions,vLess-DILI-concern
Exemestane,4,Warnings & precautions,vMost-DILI-concern
Exenatide synthetic,0,No match,vNo-DILI-concern
Exifone,8,Withdrawn,vMost-DILI-concern
Ezetimibe,3,Warnings & precautions,vLess-DILI-concern
Falnidamol,8,Discontinued,vMost-DILI-concern
Famciclovir,3,Adverse reactions,Ambiguous-DILI-concern
Famotidine,3,Adverse reactions,vLess-DILI-concern
Febuxostat,8,Warnings & precautions,vMost-DILI-concern
Fedratinib hydrochloride,3,Warnings & precautions,Ambiguous-DILI-concern
Felbamate,7,Box warning,vMost-DILI-concern
Felodipine,3,Adverse reactions,vLess-DILI-concern
Fenclozic acid,8,Withdrawn,vMost-DILI-concern
Fenofibrate,3,Warnings & precautions,vLess-DILI-concern
Fenofibric acid,2,Warnings & precautions,vLess-DILI-concern
Fenoldopam mesylate,0,No match,vNo-DILI-concern
Fenoprofen calcium,8,Warnings & precautions,vMost-DILI-concern
Ferric maltol,0,No match,vNo-DILI-concern
Ferumoxides,0,No match,vNo-DILI-concern
Ferumoxsil,0,No match,vNo-DILI-concern
Ferumoxytol,0,No match,vNo-DILI-concern
Fesoterodine fumarate,0,No match,vNo-DILI-concern
Fexinidazole,3,Warnings & precautions,Ambiguous-DILI-concern
Fexofenadine hydrochloride,0,No match,vNo-DILI-concern
Fialuridine,8,Discontinued,vMost-DILI-concern
Fidaxomicin,3,Adverse reactions,Ambiguous-DILI-concern
Fiduxosin,8,Discontinued,vMost-DILI-concern
Filgrastim,1,Adverse reactions,vLess-DILI-concern
Finasteride,0,No match,vLess-DILI-concern
Finerenone,0,No match,vNo-DILI-concern
Fingolimod hydrochloride,8,Warnings & precautions,vMost-DILI-concern
Fipexide,8,Withdrawn,vMost-DILI-concern
Flavoxate hydrochloride,0,No match,vLess-DILI-concern
Flecainide acetate,7,Adverse reactions,vLess-DILI-concern
Flibanserin,0,No match,vNo-DILI-concern
Florbetaben f-18,0,No match,vNo-DILI-concern
Florbetapir f-18,0,No match,vNo-DILI-concern
Flortaucipir f-18,0,No match,vNo-DILI-concern
Fluciclovine f-18,0,No match,vNo-DILI-concern
Fluconazole,8,Warnings & precautions,vMost-DILI-concern
Flucytosine,3,Warnings & precautions,Ambiguous-DILI-concern
Fludarabine phosphate,0,No match,vNo-DILI-concern
Fludrocortisone acetate,0,No match,vNo-DILI-concern
Flumazenil,0,No match,vNo-DILI-concern
Fluorescein sodium,0,No match,vNo-DILI-concern
Fluorodopa f-18,0,No match,vNo-DILI-concern
Fluoroestradiol f-18,0,No match,vNo-DILI-concern
Fluorouracil,0,No match,vLess-DILI-concern
Fluoxetine hydrochloride,3,Adverse reactions,vLess-DILI-concern
Fluoxymesterone,8,Warnings & precautions,Ambiguous-DILI-concern
Fluphenazine hydrochloride,3,Warnings & precautions,Ambiguous-DILI-concern
Flurazepam hydrochloride,4,Adverse reactions,vLess-DILI-concern
Flurbiprofen sodium,3,Warnings & precautions,vLess-DILI-concern
Flutamide,8,Box warning,vMost-DILI-concern
Flutemetamol f-18,0,No match,vNo-DILI-concern
Fluvastatin sodium,3,Warnings & precautions,vLess-DILI-concern
Fluvoxamine maleate,3,Adverse reactions,Ambiguous-DILI-concern
Folic acid,0,No match,vNo-DILI-concern
Follitropin alfa/beta,3,Warnings & precautions,Ambiguous-DILI-concern
Fomepizole,3,Warnings & precautions,Ambiguous-DILI-concern
Fondaparinux sodium,3,Adverse reactions,vLess-DILI-concern
Fosamprenavir calcium,3,Warnings & precautions,Ambiguous-DILI-concern
Fosaprepitant dimeglumine,3,Adverse reactions,Ambiguous-DILI-concern
Foscarnet sodium,3,Adverse reactions,Ambiguous-DILI-concern
Fosdenopterin hydrobromide,0,No match,vNo-DILI-concern
Fosfomycin tromethamine,6,Adverse reactions,vLess-DILI-concern
Fosinopril sodium,3,Adverse reactions,vLess-DILI-concern
Fosphenytoin sodium,8,Warnings & precautions,vMost-DILI-concern
Fospropofol disodium,0,No match,vLess-DILI-concern
Fostamatinib disodium,3,Warnings & precautions,Ambiguous-DILI-concern
Fostemsavir tromethamine,3,Warnings & precautions,Ambiguous-DILI-concern
Frovatriptan succinate,0,No match,vNo-DILI-concern
Fulvestrant,7,Adverse reactions,Ambiguous-DILI-concern
Furosemide,2,Adverse reactions,Ambiguous-DILI-concern
Gabapentin,3,Warnings & precautions,vLess-DILI-concern
Gabapentin enacarbil,0,No match,vNo-DILI-concern
Gadobenate dimeglumine,0,No match,vNo-DILI-concern
Gadobutrol,0,No match,vNo-DILI-concern
Gadodiamide,3,Adverse reactions,Ambiguous-DILI-concern
Gadofosveset trisodium,0,No match,vNo-DILI-concern
Gadopentetate dimeglumine,0,No match,vNo-DILI-concern
Gadoterate meglumine,0,No match,vNo-DILI-concern
Gadoteridol,0,No match,vNo-DILI-concern
Gadoversetamide,0,No match,vNo-DILI-concern
Gadoxetate disodium,0,No match,vNo-DILI-concern
Galantamine hydrobromide,3,Adverse reactions,Ambiguous-DILI-concern
Gallium dotatate ga-68,0,No match,vNo-DILI-concern
Gallium ga-68 edotreotide,0,No match,vNo-DILI-concern
Gallium ga-68 gozetotide,0,No match,vNo-DILI-concern
Gallium nitrate,3,Adverse reactions,Ambiguous-DILI-concern
Galsulfase,0,No match,vNo-DILI-concern
Ganciclovir sodium,7,Adverse reactions,Ambiguous-DILI-concern
Ganirelix acetate,0,No match,vNo-DILI-concern
Gefitinib,4,Warnings & precautions,vMost-DILI-concern
Gemcitabine hydrochloride,8,Warnings & precautions,vMost-DILI-concern
Gemfibrozil,4,Warnings & precautions,vMost-DILI-concern
Gemifloxacin mesylate,3,Warnings & precautions,vLess-DILI-concern
Gemtuzumab ozogamicin,8,Box warning,vMost-DILI-concern
Gilteritinib fumarate,3,Adverse reactions,Ambiguous-DILI-concern
Givosiran sodium,3,Warnings & precautions,vLess-DILI-concern
Glafenine,8,Withdrawn,vMost-DILI-concern
Glasdegib maleate,4,Adverse reactions,Ambiguous-DILI-concern
Glatiramer acetate,3,Adverse reactions,vLess-DILI-concern
Glimepiride,7,Adverse reactions,vLess-DILI-concern
Glipizide,3,Adverse reactions,vLess-DILI-concern
Glyburide,3,Adverse reactions,vLess-DILI-concern
Glycopyrrolate,0,No match,vNo-DILI-concern
Golimumab,8,Adverse reactions,Ambiguous-DILI-concern
Golodirsen,0,No match,vNo-DILI-concern
Goserelin acetate,3,Adverse reactions,Ambiguous-DILI-concern
Granisetron hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern
Griseofulvin,8,Warnings & precautions,vMost-DILI-concern
Guaifenesin,0,No match,vNo-DILI-concern
Guanethidine monosulfate,0,No match,vNo-DILI-concern
Guanfacine hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern
Guanidine hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern
Haloperidol decanoate,3,Adverse reactions,vLess-DILI-concern
Haloperidol lactate,5,Adverse reactions,vLess-DILI-concern
Heparin sodium,3,Adverse reactions,vLess-DILI-concern
Hetastarch,0,No match,vNo-DILI-concern
Histamine phosphate,0,No match,vNo-DILI-concern
Histrelin acetate,3,Adverse reactions,Ambiguous-DILI-concern
Hyaluronidase,0,No match,vNo-DILI-concern
Hyaluronidase recombinant human,0,No match,vNo-DILI-concern
Hydralazine hydrochloride,3,Adverse reactions,vLess-DILI-concern
Hydrochlorothiazide,2,Adverse reactions,vLess-DILI-concern
Hydrocortisone acetate,0,No match,vNo-DILI-concern
Hydroflumethiazide,2,Adverse reactions,Ambiguous-DILI-concern
Hydromorphone hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern
Hydroxocobalamin,3,Adverse reactions,Ambiguous-DILI-concern
Hydroxychloroquine sulfate,7,Adverse reactions,vLess-DILI-concern
Hydroxyprogesterone caproate,2,Warnings & precautions,Ambiguous-DILI-concern
Hydroxyurea,8,Warnings & precautions,vMost-DILI-concern
Hydroxyzine hydrochloride,0,No match,vNo-DILI-concern
Ibandronate sodium,0,No match,vLess-DILI-concern
Ibrexafungerp citrate,3,Adverse reactions,Ambiguous-DILI-concern
Ibritumomab tiuxetan,0,No match,vNo-DILI-concern
Ibrutinib,7,Adverse reactions,vMost-DILI-concern
Ibufenac,8,Withdrawn,vMost-DILI-concern
Ibuprofen,3,Warnings & precautions,vLess-DILI-concern
Ibutilide fumarate,0,No match,vNo-DILI-concern
Icatibant acetate,3,Adverse reactions,Ambiguous-DILI-concern
Idarubicin hydrochloride,3,Warnings & precautions,Ambiguous-DILI-concern
Idelalisib,8,Box warning,vMost-DILI-concern
Idursulfase,0,No match,vNo-DILI-concern
Ifosfamide,4,Adverse reactions,vLess-DILI-concern
Iloperidone,2,Adverse reactions,Ambiguous-DILI-concern
Imatinib mesylate,8,Warnings & precautions,vMost-DILI-concern
Imiglucerase,0,No match,vNo-DILI-concern
Imipramine hydrochloride,3,Adverse reactions,vLess-DILI-concern
Inamrinone lactate,5,Adverse reactions,Ambiguous-DILI-concern
Inclisiran sodium,4,Adverse reactions,vLess-DILI-concern
Indapamide,5,Adverse reactions,Ambiguous-DILI-concern
Indinavir sulfate,8,Warnings & precautions,Ambiguous-DILI-concern
Indocyanine green,0,No match,vNo-DILI-concern
Indomethacin,8,Warnings & precautions,vMost-DILI-concern
Infigratinib phosphate,4,Adverse reactions,Ambiguous-DILI-concern
Infliximab,8,Warnings & precautions,vMost-DILI-concern
Inotersen sodium,3,Warnings & precautions,Ambiguous-DILI-concern
"Interferon alfa-2a, recombinant",8,Warnings & precautions,vMost-DILI-concern
Interferon alfa-2b,8,Warnings & precautions,vMost-DILI-concern
Interferon alfacon-1,7,Warnings & precautions,vMost-DILI-concern
Interferon beta-1a,7,Warnings & precautions,vMost-DILI-concern
Interferon beta-1b,7,Warnings & precautions,vMost-DILI-concern
Interferon gamma-1b,3,Warnings & precautions,Ambiguous-DILI-concern
Iodipamide sodium,0,No match,vNo-DILI-concern
Ioflupane i-123,0,No match,vNo-DILI-concern
Iothalamate meglumine,0,No match,vNo-DILI-concern
Ioversol,0,No match,vNo-DILI-concern
Iproniazid,8,Withdrawn,vMost-DILI-concern
Irbesartan,5,Adverse reactions,vLess-DILI-concern
Irinotecan hydrochloride,3,Adverse reactions,vLess-DILI-concern
Isavuconazonium sulfate,8,Warnings & precautions,Ambiguous-DILI-concern
Isaxonine,8,Withdrawn,vMost-DILI-concern
Isocarboxazid,5,Warnings & precautions,Ambiguous-DILI-concern
Isoniazid,8,Box warning,vMost-DILI-concern
Isoproterenol hydrochloride,0,No match,vNo-DILI-concern
Isosorbide dinitrate,0,No match,vNo-DILI-concern
Isosorbide mononitrate,3,Adverse reactions,Ambiguous-DILI-concern
Isotretinoin,5,Warnings & precautions,vMost-DILI-concern
Isoxsuprine hydrochloride,0,No match,vNo-DILI-concern
Isradipine,3,Adverse reactions,vLess-DILI-concern
Istradefylline,0,No match,vNo-DILI-concern
Itraconazole,8,Warnings & precautions,vMost-DILI-concern
Ivabradine hydrochloride,0,No match,vNo-DILI-concern
Ivacaftor,3,Warnings & precautions,vLess-DILI-concern
Ivermectin,3,Adverse reactions,vLess-DILI-concern
Ivosidenib,4,Adverse reactions,Ambiguous-DILI-concern
Ixabepilone,7,Adverse reactions,Ambiguous-DILI-concern
Ixazomib citrate,5,Warnings & precautions,Ambiguous-DILI-concern
Kanamycin,0,No match,vNo-DILI-concern
Ketamine hydrochloride,0,No match,vLess-DILI-concern
Ketoconazole,8,Box warning,vMost-DILI-concern
Ketoprofen,3,Warnings & precautions,vLess-DILI-concern
Ketorolac tromethamine,3,Warnings & precautions,vLess-DILI-concern
Labetalol hydrochloride,8,Warnings & precautions,vMost-DILI-concern
Lacosamide,3,Warnings & precautions,Ambiguous-DILI-concern
Lactitol,0,No match,vNo-DILI-concern
Lactulose,0,No match,vNo-DILI-concern
Lamivudine,3,Warnings & precautions,vLess-DILI-concern
Lamotrigine,7,Warnings & precautions,vMost-DILI-concern
Lanreotide acetate,2,Adverse reactions,Ambiguous-DILI-concern
Lansoprazole,3,Adverse reactions,vLess-DILI-concern
Lanthanum carbonate,0,No match,vNo-DILI-concern
Lapatinib ditosylate,8,Box warning,vMost-DILI-concern
Laronidase,4,Adverse reactions,Ambiguous-DILI-concern
Larotrectinib sulfate,3,Warnings & precautions,Ambiguous-DILI-concern
Lasmiditan succinate,0,No match,vNo-DILI-concern
L-Cysteine,3,Warnings & precautions,Ambiguous-DILI-concern
Lefamulin acetate,3,Adverse reactions,Ambiguous-DILI-concern
Leflunomide,8,Box warning,vMost-DILI-concern
Lemborexant,0,No match,vNo-DILI-concern
Lenalidomide,3,Warnings & precautions,vLess-DILI-concern
Lenvatinib mesylate,7,Warnings & precautions,Ambiguous-DILI-concern
Lepirudin,3,Adverse reactions,Ambiguous-DILI-concern
Letermovir,0,No match,vLess-DILI-concern
Letrozole,2,Warnings & precautions,vLess-DILI-concern
Leucovorin calcium,0,No match,vNo-DILI-concern
Leuprolide acetate,3,Adverse reactions,vLess-DILI-concern
Levamlodipine maleate,5,Adverse reactions,Ambiguous-DILI-concern
Levetiracetam,8,Adverse reactions,vLess-DILI-concern
Levocarnitine,0,No match,vNo-DILI-concern
Levocetirizine dihydrochloride,4,Adverse reactions,vLess-DILI-concern
Levofloxacin,8,Warnings & precautions,vMost-DILI-concern
Levoleucovorin,0,No match,vNo-DILI-concern
Levomefolate calcium,0,No match,vNo-DILI-concern
Levonorgestrel,0,No match,vNo-DILI-concern
Levorphanol tartrate,0,No match,vNo-DILI-concern
Levothyroxine sodium,3,Adverse reactions,vLess-DILI-concern
L-glutamine,3,Adverse reactions,Ambiguous-DILI-concern
Lidocaine,0,No match,vNo-DILI-concern
Linaclotide,0,No match,vNo-DILI-concern
Linagliptin,0,No match,vLess-DILI-concern
Lincomycin hydrochloride,3,Warnings & precautions,Ambiguous-DILI-concern
Linezolid,3,Adverse reactions,vLess-DILI-concern
Liothyronine sodium,0,No match,vNo-DILI-concern
Liraglutide,4,Adverse reactions,vLess-DILI-concern
Lisdexamfetamine dimesylate,3,Adverse reactions,Ambiguous-DILI-concern
Lisinopril,3,Adverse reactions,vLess-DILI-concern
Lofexidine hydrochloride,0,No match,vNo-DILI-concern
Lomefloxacin hydrochloride,4,Adverse reactions,Ambiguous-DILI-concern
Lomitapide mesylate,3,Box warning,vMost-DILI-concern
Lomustine,3,Warnings & precautions,vLess-DILI-concern
Lonafarnib,3,Warnings & precautions,Ambiguous-DILI-concern
Loperamide hydrochloride,0,No match,vNo-DILI-concern
Loracarbef,3,Adverse reactions,vLess-DILI-concern
Loratadine,0,No match,vNo-DILI-concern
Lorazepam,3,Warnings & precautions,vLess-DILI-concern
Lorlatinib,3,Adverse reactions,Ambiguous-DILI-concern
Losartan potassium,4,Adverse reactions,vLess-DILI-concern
Lovastatin,3,Warnings & precautions,vLess-DILI-concern
Loxapine succinate,5,Adverse reactions,Ambiguous-DILI-concern
Lubiprostone,0,No match,vNo-DILI-concern
Lumasiran sodium,0,No match,vNo-DILI-concern
Lumateperone tosylate,3,Adverse reactions,Ambiguous-DILI-concern
Lumiracoxib,8,Withdrawn,vMost-DILI-concern
Lurasidone hydrochloride,0,No match,vNo-DILI-concern
Lurbinectedin,3,Warnings & precautions,Ambiguous-DILI-concern
Lusutrombopag,0,No match,vNo-DILI-concern
Lutetium lu 177 dotatate,6,Warnings & precautions,Ambiguous-DILI-concern
Macimorelin acetate,0,No match,vNo-DILI-concern
Macitentan,7,Warnings & precautions,vMost-DILI-concern
Mannitol,0,No match,vNo-DILI-concern
Maprotiline hydrochloride,5,Adverse reactions,Ambiguous-DILI-concern
Maralixibat chloride,4,Warnings & precautions,Ambiguous-DILI-concern
Maraviroc,3,Box warning,vMost-DILI-concern
Maribavir,0,No match,vNo-DILI-concern
Mebanazine,8,Withdrawn,vMost-DILI-concern
Mebendazole,3,Warnings & precautions,vLess-DILI-concern
Mecamylamine hydrochloride,0,No match,vNo-DILI-concern
Mecasermin recombinant,3,Adverse reactions,Ambiguous-DILI-concern
Mechlorethamine hydrochloride,3,Warnings & precautions,Ambiguous-DILI-concern
Meclizine hydrochloride,0,No match,vNo-DILI-concern
Meclofenamate sodium,3,Warnings & precautions,Ambiguous-DILI-concern
Medroxyprogesterone acetate,2,Adverse reactions,Ambiguous-DILI-concern
Mefenamic acid,8,Warnings & precautions,vMost-DILI-concern
Mefloquine hydrochloride,7,Adverse reactions,vLess-DILI-concern
Megestrol acetate,1,Adverse reactions,Ambiguous-DILI-concern
Meloxicam,3,Warnings & precautions,vLess-DILI-concern
Melphalan,5,Adverse reactions,vLess-DILI-concern
Memantine hydrochloride,7,Adverse reactions,vLess-DILI-concern
Mepazine,8,Withdrawn,vMost-DILI-concern
Mepenzolate bromide,0,No match,vNo-DILI-concern
Meperidine hydrochloride,0,No match,vNo-DILI-concern
Mephenytoin,5,Adverse reactions,Ambiguous-DILI-concern
Mepivacaine hydrochloride,0,No match,vLess-DILI-concern
Meprobamate,0,No match,vNo-DILI-concern
Mercaptopurine,8,Warnings & precautions,vMost-DILI-concern
Meropenem,3,Warnings & precautions,vLess-DILI-concern
Mesalamine,7,Adverse reactions,vLess-DILI-concern
Mesna,3,Adverse reactions,Ambiguous-DILI-concern
Mesoridazine besylate,5,Adverse reactions,Ambiguous-DILI-concern
Metaproterenol sulfate,0,No match,vNo-DILI-concern
Metaxalone,5,Adverse reactions,vLess-DILI-concern
Metformin hydrochloride,0,No match,vLess-DILI-concern
Methadone hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern
Methamphetamine hydrochloride,0,No match,vNo-DILI-concern
Methazolamide,7,Adverse reactions,vLess-DILI-concern
Methenamine hippurate,3,Warnings & precautions,Ambiguous-DILI-concern
Methimazole,8,Warnings & precautions,vMost-DILI-concern
Methionine,0,No match,vNo-DILI-concern
Methocarbamol,5,Adverse reactions,Ambiguous-DILI-concern
Methohexital sodium,3,Adverse reactions,Ambiguous-DILI-concern
Methotrexate sodium,3,Box warning,vMost-DILI-concern
Methoxsalen,3,Warnings & precautions,vLess-DILI-concern
Methscopolamine bromide,0,No match,vNo-DILI-concern
Methsuximide,0,No match,vNo-DILI-concern
Methyclothiazide,2,Adverse reactions,Ambiguous-DILI-concern
Methyldopa,8,Warnings & precautions,vMost-DILI-concern
Methylergonovine maleate,0,No match,vNo-DILI-concern
Methylnaltrexone bromide,0,No match,vNo-DILI-concern
Methylphenidate hydrochloride,3,Adverse reactions,vLess-DILI-concern
Methylprednisolone,3,Adverse reactions,vLess-DILI-concern
Methyltestosterone,2,Warnings & precautions,vLess-DILI-concern
Methysergide maleate,0,No match,vNo-DILI-concern
Metoclopramide hydrochloride,5,Adverse reactions,vLess-DILI-concern
Metolazone,3,Adverse reactions,Ambiguous-DILI-concern
Metoprolol succinate,3,Adverse reactions,Ambiguous-DILI-concern
Metoprolol tartrate,5,Adverse reactions,vLess-DILI-concern
Metronidazole,3,No match,vLess-DILI-concern
Metyrapone,0,No match,vNo-DILI-concern
Metyrosine,0,No match,vNo-DILI-concern
Mexiletine hydrochloride,3,Box warning,vMost-DILI-concern
Micafungin sodium,7,Warnings & precautions,vMost-DILI-concern
Midazolam hydrochloride,0,No match,vNo-DILI-concern
Midodrine hydrochloride,0,No match,vNo-DILI-concern
Midostaurin,4,Adverse reactions,Ambiguous-DILI-concern
Mifepristone,0,No match,vLess-DILI-concern
Migalastat hydrochloride,0,No match,vNo-DILI-concern
Miglitol,0,No match,vNo-DILI-concern
Miglustat,0,No match,vNo-DILI-concern
Milnacipran hydrochloride,7,Warnings & precautions,vMost-DILI-concern
Milrinone lactate,3,Adverse reactions,Ambiguous-DILI-concern
Miltefosine,4,Warnings & precautions,Ambiguous-DILI-concern
Minocycline hydrochloride,8,Warnings & precautions,vMost-DILI-concern
Minoxidil,0,No match,vNo-DILI-concern
Mirabegron,3,Adverse reactions,Ambiguous-DILI-concern
Mirtazapine,3,Warnings & precautions,vLess-DILI-concern
Misoprostol,3,Adverse reactions,Ambiguous-DILI-concern
Mitomycin,0,No match,vLess-DILI-concern
Mitotane,0,No match,vNo-DILI-concern
Mitoxantrone hydrochloride,3,Warnings & precautions,vLess-DILI-concern
Mivacurium chloride,0,No match,vNo-DILI-concern
Mobocertinib succinate,3,Adverse reactions,Ambiguous-DILI-concern
Modafinil,3,Warnings & precautions,vLess-DILI-concern
Moexipril hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern
Monomethyl fumarate,4,Warnings & precautions,Ambiguous-DILI-concern
Montelukast sodium,3,Adverse reactions,vLess-DILI-concern
Moricizine hydrochloride,5,Adverse reactions,Ambiguous-DILI-concern
Morphine sulfate,0,No match,vNo-DILI-concern
Moxidectin,4,Adverse reactions,Ambiguous-DILI-concern
Moxifloxacin hydrochloride,8,Adverse reactions,vLess-DILI-concern
Moxisylyte,8,Withdrawn,vMost-DILI-concern
Muromonab-cd3,3,Warnings & precautions,Ambiguous-DILI-concern
Mycophenolate mofetil,3,Adverse reactions,vLess-DILI-concern
Mycophenolic sodium,3,Adverse reactions,Ambiguous-DILI-concern
Nabilone,0,No match,vNo-DILI-concern
Nabumetone,3,Warnings & precautions,Ambiguous-DILI-concern
Nadolol,3,Adverse reactions,Ambiguous-DILI-concern
Nafcillin sodium,3,Warnings & precautions,vLess-DILI-concern
Nalbuphine hydrochloride,0,No match,vNo-DILI-concern
Naldemedine tosylate,0,No match,vNo-DILI-concern
Nalidixic acid,3,Warnings & precautions,Ambiguous-DILI-concern
Nalmefene hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern
Naloxegol oxalate,0,No match,vNo-DILI-concern
Naloxone hydrochloride,0,No match,vNo-DILI-concern
Naltrexone hydrochloride,3,Warnings & precautions,Ambiguous-DILI-concern
Nandrolone phenpropionate,7,Warnings & precautions,vMost-DILI-concern
Naproxen,3,Warnings & precautions,vLess-DILI-concern
Naratriptan hydrochloride,4,Adverse reactions,Ambiguous-DILI-concern
Natalizumab,5,Warnings & precautions,vMost-DILI-concern
Nateglinide,3,Adverse reactions,Ambiguous-DILI-concern
Nebivolol hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern
Nefazodone hydrochloride,8,Box warning,vMost-DILI-concern
Nelarabine,4,Adverse reactions,vLess-DILI-concern
Nelfinavir mesylate,3,Adverse reactions,vLess-DILI-concern
Neomycin sulfate,0,No match,vNo-DILI-concern
Neratinib maleate,4,Warnings & precautions,Ambiguous-DILI-concern
Nesiritide,0,No match,vNo-DILI-concern
Nevirapine,8,Box warning,vMost-DILI-concern
Niacin,7,Warnings & precautions,vMost-DILI-concern
Nialamide,8,Withdrawn,vMost-DILI-concern
Nicardipine hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern
Nifedipine,3,Warnings & precautions,vLess-DILI-concern
Nifurtimox,0,No match,vNo-DILI-concern
Nilotinib hydrochloride,4,Warnings & precautions,vMost-DILI-concern
Nilutamide,8,Warnings & precautions,vMost-DILI-concern
Nimesulide,8,Withdrawn,vMost-DILI-concern
Nimodipine,3,Adverse reactions,Ambiguous-DILI-concern
Nintedanib esylate,8,Warnings & precautions,vMost-DILI-concern
Niperotidine,8,Withdrawn,vMost-DILI-concern
Niraparib tosylate,3,Adverse reactions,Ambiguous-DILI-concern
Nisoldipine,3,Adverse reactions,Ambiguous-DILI-concern
Nitazoxanide,0,No match,vNo-DILI-concern
Nitisinone,7,Adverse reactions,Ambiguous-DILI-concern
Nitrefazole,8,Withdrawn,vMost-DILI-concern
Nitrofurantoin,8,Warnings & precautions,vMost-DILI-concern
Nitroglycerin,0,No match,vNo-DILI-concern
Nizatidine,5,Adverse reactions,vLess-DILI-concern
Nomifensine,8,Withdrawn,vMost-DILI-concern
Norepinephrine bitartrate,0,No match,vNo-DILI-concern
Norethindrone,3,Adverse reactions,Ambiguous-DILI-concern
Norethindrone acetate,0,No match,vNo-DILI-concern
Norfloxacin,3,Warnings & precautions,vLess-DILI-concern
Nortriptyline hydrochloride,8,Warnings & precautions,vMost-DILI-concern
Nusinersen sodium,0,No match,vNo-DILI-concern
Nystatin,0,No match,vNo-DILI-concern
Obeticholic acid,8,Box warning,vMost-DILI-concern
Octreotide acetate,2,Warnings & precautions,vLess-DILI-concern
Odevixibat,4,Warnings & precautions,Ambiguous-DILI-concern
Ofatumumab,0,No match,vNo-DILI-concern
Ofloxacin,3,Warnings & precautions,vLess-DILI-concern
Olanzapine,3,Adverse reactions,vLess-DILI-concern
Olaparib,0,No match,vLess-DILI-concern
Oliceridine,3,Adverse reactions,Ambiguous-DILI-concern
Olmesartan medoxomil,4,Adverse reactions,vLess-DILI-concern
Olsalazine sodium,8,Adverse reactions,vLess-DILI-concern
Omacetaxine mepesuccinate,4,Adverse reactions,Ambiguous-DILI-concern
Omadacycline tosylate,3,Adverse reactions,Ambiguous-DILI-concern
Omalizumab,0,No match,vNo-DILI-concern
Omeprazole,4,Adverse reactions,vLess-DILI-concern
Ondansetron hydrochloride,7,Adverse reactions,vLess-DILI-concern
Opicapone,0,No match,vNo-DILI-concern
Oprelvekin,0,No match,vNo-DILI-concern
Oritavancin diphosphate,4,Adverse reactions,Ambiguous-DILI-concern
Orlistat,8,Warnings & precautions,vMost-DILI-concern
Orphenadrine hydrochloride,0,No match,vNo-DILI-concern
Oseltamivir phosphate,3,Adverse reactions,vLess-DILI-concern
Osilodrostat phosphate,3,Adverse reactions,Ambiguous-DILI-concern
Osimertinib mesylate,4,Adverse reactions,vLess-DILI-concern
Ospemifene,0,No match,vNo-DILI-concern
Oxacillin sodium,3,Warnings & precautions,vLess-DILI-concern
Oxaliplatin,4,Warnings & precautions,vMost-DILI-concern
Oxandrolone,8,Box warning,vMost-DILI-concern
Oxaprozin,3,Warnings & precautions,vLess-DILI-concern
Oxazepam,5,Adverse reactions,Ambiguous-DILI-concern
Oxcarbazepine,3,Warnings & precautions,vLess-DILI-concern
Oxybutynin chloride,0,No match,vLess-DILI-concern
Oxycodone hydrochloride,0,No match,vLess-DILI-concern
Oxymetholone,7,Box warning,vMost-DILI-concern
Oxymorphone hydrochloride,0,No match,vNo-DILI-concern
Oxyphenisatin,8,Withdrawn,vMost-DILI-concern
Oxytetracycline,2,Warnings & precautions,Ambiguous-DILI-concern
Oxytocin,0,No match,vNo-DILI-concern
Ozanimod hydrochloride,3,Warnings & precautions,Ambiguous-DILI-concern
Paclitaxel,4,Adverse reactions,vLess-DILI-concern
Pafolacianine sodium,0,No match,vNo-DILI-concern
Pafuraidine,8,Discontinued,vMost-DILI-concern
Palbociclib,3,Adverse reactions,vLess-DILI-concern
Palifermin,0,No match,vNo-DILI-concern
Paliperidone,0,No match,vLess-DILI-concern
Palivizumab,0,No match,vNo-DILI-concern
Palonosetron hydrochloride,4,Adverse reactions,Ambiguous-DILI-concern
Pamabrom,0,No match,vNo-DILI-concern
Pamidronate disodium,3,Adverse reactions,Ambiguous-DILI-concern
Pancrelipase,0,No match,vNo-DILI-concern
Pancuronium bromide,0,No match,vNo-DILI-concern
Panitumumab,0,No match,vNo-DILI-concern
Panobinostat lactate,3,Warnings & precautions,Ambiguous-DILI-concern
Pantoprazole sodium,3,Adverse reactions,vLess-DILI-concern
Papaverine hydrochloride,5,Warnings & precautions,vMost-DILI-concern
Paricalcitol,3,Adverse reactions,Ambiguous-DILI-concern
Paromomycin sulfate,0,No match,vNo-DILI-concern
Paroxetine hydrochloride,8,Adverse reactions,vLess-DILI-concern
Pasireotide diaspartate,3,Warnings & precautions,Ambiguous-DILI-concern
Patiromer sorbitex calcium,0,No match,vNo-DILI-concern
Patisiran sodium,0,No match,vNo-DILI-concern
Pazopanib hydrochloride,8,Box warning,vMost-DILI-concern
