molecule_chembl_id,target_chembl_id,target_pref_name,target_organism,action_type,mechanism_of_action,query_name
CHEMBL1200703,CHEMBL2093872,,,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,Chlordiazepoxide hydrochloride
CHEMBL1200714,,,,,Unknown,Chlormezanone
CHEMBL58510,CHEMBL613897,,,INHIBITOR,Ferriprotoporphyrin IX inhibitor,Chloroquine phosphate
CHEMBL842,CHEMBL1876,,,INHIBITOR,Thiazide-sensitive sodium-chloride cotransporter inhibitor,Chlorothiazide
CHEMBL1659,CHEMBL231,,,ANTAGONIST,Histamine H1 receptor antagonist,Chlorpheniramine maleate
CHEMBL1713,CHEMBL224,,,ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist,Chlorpromazine hydrochloride
CHEMBL1713,CHEMBL2331075,,,ANTAGONIST,D2-like dopamine receptor antagonist,Chlorpromazine hydrochloride
CHEMBL498,CHEMBL2096972,,,BLOCKER,"Sulfonylurea receptor 1, Kir6.2 blocker",Chlorpropamide
CHEMBL1055,CHEMBL1876,,,INHIBITOR,Thiazide-sensitive sodium-chloride cotransporter inhibitor,Chlorthalidone
CHEMBL1371,CHEMBL4305,,,OPENER,Intermediate conductance calcium-activated potassium channel protein 4 opener,Chlorzoxazone
CHEMBL205596,,,,,Unknown,Cholic acid
CHEMBL2095207,,,,,Diagnostic agent,Choline c-11
CHEMBL5314375,CHEMBL1872,,,INHIBITOR,Human herpesvirus 1 DNA polymerase inhibitor,Cidofovir
CHEMBL799,CHEMBL241,,,INHIBITOR,Phosphodiesterase 3A inhibitor,Cilostazol
CHEMBL30,CHEMBL1941,,,ANTAGONIST,Histamine H2 receptor antagonist,Cimetidine
CHEMBL1200776,CHEMBL1878,,,POSITIVE ALLOSTERIC MODULATOR,Calcium sensing receptor positive allosteric modulator,Cinacalcet hydrochloride
CHEMBL1202,CHEMBL2311224,,,INHIBITOR,Bacterial DNA gyrase inhibitor,Ciprofloxacin hydrochloride
CHEMBL1202,CHEMBL2363076,,,INHIBITOR,Topoisomerase IV inhibitor,Ciprofloxacin hydrochloride
CHEMBL1200641,CHEMBL2362997,,,ANTAGONIST,Muscle-type nicotinic acetylcholine receptor antagonist,Cisatracurium besylate
CHEMBL1200781,CHEMBL228,,,INHIBITOR,Serotonin transporter inhibitor,Citalopram hydrobromide
CHEMBL1619,CHEMBL2311221,,,INHIBITOR,DNA inhibitor,Cladribine
CHEMBL1741,CHEMBL2363135,,,INHIBITOR,Bacterial 70S ribosome inhibitor,Clarithromycin
CHEMBL1200795,CHEMBL231,,,ANTAGONIST,Histamine H1 receptor antagonist,Clemastine fumarate
CHEMBL1237132,CHEMBL2095229,,,BLOCKER,Voltage-gated L-type calcium channel blocker,Clevidipine
CHEMBL1200588,CHEMBL2363135,,,INHIBITOR,Bacterial 70S ribosome inhibitor,Clindamycin hydrochloride
CHEMBL3184512,CHEMBL2363135,,,INHIBITOR,Bacterial 70S ribosome inhibitor,Clindamycin phosphate
CHEMBL70418,CHEMBL2093872,,,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,Clobazam
CHEMBL1750,CHEMBL2095215,,,INHIBITOR,Ribonucleoside-diphosphate reductase RR1 inhibitor,Clofarabine
CHEMBL1750,CHEMBL2311221,,,INHIBITOR,DNA inhibitor,Clofarabine
CHEMBL1750,CHEMBL2363042,,,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor,Clofarabine
CHEMBL565,CHEMBL239,,,AGONIST,Peroxisome proliferator-activated receptor alpha agonist,Clofibrate
CHEMBL13376,CHEMBL2094253,,,INHIBITOR,Cyclooxygenase inhibitor,Clometacin
CHEMBL3185958,CHEMBL206,,,MODULATOR,Estrogen receptor alpha modulator,Clomiphene citrate
CHEMBL1200710,CHEMBL228,,,INHIBITOR,Serotonin transporter inhibitor,Clomipramine hydrochloride
CHEMBL452,CHEMBL2093872,,,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,Clonazepam
CHEMBL1705,CHEMBL2095158,,,AGONIST,Adrenergic receptor alpha-2 agonist,Clonidine hydrochloride
CHEMBL1083385,CHEMBL2001,,,ANTAGONIST,Purinergic receptor P2Y12 antagonist,Clopidogrel bisulfate
CHEMBL2096631,CHEMBL2093872,,,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,Clorazepate dipotassium
CHEMBL104,CHEMBL1780,,,INHIBITOR,Cytochrome P450 51 inhibitor,Clotrimazole
CHEMBL1200388,CHEMBL2363021,,,INHIBITOR,Penicillin-binding protein inhibitor,Cloxacillin sodium
CHEMBL42,CHEMBL224,,,ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist,Clozapine
CHEMBL42,CHEMBL217,,,ANTAGONIST,Dopamine D2 receptor antagonist,Clozapine
CHEMBL2095208,CHEMBL2364675,,,INHIBITOR,Cytochrome P450 3A inhibitor,Cobicistat
CHEMBL2364607,CHEMBL3587,,,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,Cobimetinib fumarate
CHEMBL2364607,CHEMBL2964,,,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,Cobimetinib fumarate
CHEMBL4297091,CHEMBL2095181,,,AGONIST,Opioid receptors; mu/kappa/delta agonist,Codeine sulfate
CHEMBL107,CHEMBL2095182,,,INHIBITOR,Tubulin inhibitor,Colchicine
CHEMBL1201108,CHEMBL1790,,,ANTAGONIST,Vasopressin V2 receptor antagonist,Conivaptan hydrochloride
CHEMBL1201108,CHEMBL1889,,,ANTAGONIST,Vasopressin V1a receptor antagonist,Conivaptan hydrochloride
CHEMBL3218576,CHEMBL4005,,,INHIBITOR,PI3-kinase p110-alpha subunit inhibitor,Copanlisib dihydrochloride
CHEMBL3218576,CHEMBL3130,,,INHIBITOR,PI3-kinase p110-delta subunit inhibitor,Copanlisib dihydrochloride
CHEMBL1650,CHEMBL2034,,,AGONIST,Glucocorticoid receptor agonist,Cortisone acetate
CHEMBL601719,CHEMBL3717,,,INHIBITOR,Hepatocyte growth factor receptor inhibitor,Crizotinib
CHEMBL601719,CHEMBL4247,,,INHIBITOR,ALK tyrosine kinase receptor inhibitor,Crizotinib
CHEMBL601719,CHEMBL3883330,,,INHIBITOR,EML4-ALK inhibitor,Crizotinib
CHEMBL601719,CHEMBL2111387,,,INHIBITOR,NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor,Crizotinib
CHEMBL601719,CHEMBL5568,,,INHIBITOR,Proto-oncogene tyrosine-protein kinase ROS inhibitor,Crizotinib
CHEMBL601719,CHEMBL2689,,,INHIBITOR,Macrophage-stimulating protein receptor inhibitor,Crizotinib
CHEMBL1200636,CHEMBL224,,,ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist,Cyclobenzaprine hydrochloride
CHEMBL1200636,CHEMBL225,,,ANTAGONIST,Serotonin 2c (5-HT2c) receptor antagonist,Cyclobenzaprine hydrochloride
CHEMBL141305,CHEMBL2093866,,,MODULATOR,Estrogen receptor modulator,Cyclofenil
CHEMBL1200796,CHEMBL2311221,,,INHIBITOR,DNA inhibitor,Cyclophosphamide
CHEMBL771,CHEMBL2030,,,INHIBITOR,D-alanylalanine synthetase inhibitor,Cycloserine
CHEMBL771,CHEMBL2031,,,INHIBITOR,Alanine racemase inhibitor,Cycloserine
CHEMBL1716,CHEMBL231,,,ANTAGONIST,Histamine H1 receptor antagonist,Cyproheptadine hydrochloride
CHEMBL1200577,CHEMBL2364039,,,REDUCING AGENT,Cystine reducing agent,Cysteamine bitartrate
CHEMBL803,CHEMBL2311221,,,INHIBITOR,DNA inhibitor,Cytarabine
CHEMBL803,CHEMBL2311222,,,INHIBITOR,RNA inhibitor,Cytarabine
CHEMBL803,CHEMBL2363042,,,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor,Cytarabine
CHEMBL1615369,CHEMBL204,,,INHIBITOR,Thrombin inhibitor,Dabigatran etexilate mesylate
CHEMBL2105729,CHEMBL5145,,,INHIBITOR,Serine/threonine-protein kinase B-raf inhibitor,Dabrafenib mesylate
CHEMBL476,CHEMBL2311221,,,INHIBITOR,DNA inhibitor,Dacarbazine
CHEMBL2105719,CHEMBL203,,,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,Dacomitinib
CHEMBL2105719,CHEMBL1824,,,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,Dacomitinib
CHEMBL2105719,CHEMBL3009,,,INHIBITOR,Receptor protein-tyrosine kinase erbB-4 inhibitor,Dacomitinib
CHEMBL284348,CHEMBL2362996,,,BLOCKER,Voltage-gated potassium channel blocker,Dalfampridine
CHEMBL1479,CHEMBL208,,,AGONIST,Progesterone receptor agonist,Danazol
CHEMBL1479,CHEMBL1871,,,AGONIST,Androgen Receptor agonist,Danazol
CHEMBL928,CHEMBL1846,,,ANTAGONIST,Ryanodine receptor 1 antagonist,Dantrolene sodium
CHEMBL928,CHEMBL2062,,,ANTAGONIST,Ryanodine receptor 3 antagonist,Dantrolene sodium
CHEMBL429910,CHEMBL3884,,,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor,Dapagliflozin
CHEMBL1043,CHEMBL2362993,,,INHIBITOR,Dihydropteroate synthase 1 inhibitor,Dapsone
CHEMBL387675,CHEMBL2364031,,,INHIBITOR,Cell membrane inhibitor,Daptomycin
CHEMBL1200935,CHEMBL245,,,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,Darifenacin hydrobromide
CHEMBL1200935,CHEMBL211,,,ANTAGONIST,Muscarinic acetylcholine receptor M2 antagonist,Darifenacin hydrobromide
CHEMBL4297185,CHEMBL1871,,,ANTAGONIST,Androgen Receptor antagonist,Darolutamide
CHEMBL1323,CHEMBL243,,,INHIBITOR,Human immunodeficiency virus type 1 protease inhibitor,Darunavir
CHEMBL5416410,CHEMBL2096618,,,INHIBITOR,Bcr/Abl fusion protein inhibitor,Dasatinib
CHEMBL1563,CHEMBL1806,,,INHIBITOR,DNA topoisomerase II alpha inhibitor,Daunorubicin hydrochloride
CHEMBL1563,CHEMBL2311221,,,INHIBITOR,DNA inhibitor,Daunorubicin hydrochloride
CHEMBL1201129,CHEMBL1992,,,INHIBITOR,DNA (cytosine-5)-methyltransferase 3A inhibitor,Decitabine
CHEMBL1201129,CHEMBL1993,,,INHIBITOR,DNA (cytosine-5)-methyltransferase 1 inhibitor,Decitabine
CHEMBL1201129,CHEMBL2311221,,,INHIBITOR,DNA inhibitor,Decitabine
CHEMBL550348,CHEMBL2363058,,,CHELATING AGENT,Iron chelating agent,Deferasirox
CHEMBL70927,,,,,Unknown,Deferiprone
CHEMBL1234,CHEMBL2363058,,,CHELATING AGENT,Iron chelating agent,Deferoxamine mesylate
CHEMBL1201891,CHEMBL2034,,,AGONIST,Glucocorticoid receptor agonist,Deflazacort
CHEMBL2105638,CHEMBL2311224,,,INHIBITOR,Bacterial DNA gyrase inhibitor,Delafloxacin meglumine
CHEMBL2105638,CHEMBL2363076,,,INHIBITOR,Topoisomerase IV inhibitor,Delafloxacin meglumine
CHEMBL929,CHEMBL247,,,INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,Delavirdine mesylate
CHEMBL1200474,CHEMBL2363135,,,INHIBITOR,Bacterial 70S ribosome inhibitor,Demeclocycline hydrochloride
CHEMBL406393,CHEMBL3390826,,,DISRUPTING AGENT,Cell membrane disrupting agent,Deoxycholic acid
CHEMBL1696,CHEMBL222,,,INHIBITOR,Norepinephrine transporter inhibitor,Desipramine hydrochloride
CHEMBL1172,CHEMBL231,,,ANTAGONIST,Histamine H1 receptor antagonist,Desloratadine
CHEMBL1201728,CHEMBL228,,,INHIBITOR,Serotonin transporter inhibitor,Desvenlafaxine succinate
CHEMBL1201728,CHEMBL222,,,INHIBITOR,Norepinephrine transporter inhibitor,Desvenlafaxine succinate
CHEMBL3137326,CHEMBL1893,,,INHIBITOR,Synaptic vesicular amine transporter inhibitor,Deutetrabenazine
CHEMBL384467,CHEMBL2034,,,AGONIST,Glucocorticoid receptor agonist,Dexamethasone
CHEMBL1200638,CHEMBL231,,,ANTAGONIST,Histamine H1 receptor antagonist,Dexbrompheniramine maleate
CHEMBL1200927,CHEMBL231,,,ANTAGONIST,Histamine H1 receptor antagonist,Dexchlorpheniramine maleate
CHEMBL1201863,CHEMBL2095173,,,INHIBITOR,Potassium-transporting ATPase inhibitor,Dexlansoprazole
CHEMBL2106195,CHEMBL2095158,,,AGONIST,Adrenergic receptor alpha-2 agonist,Dexmedetomidine hydrochloride
CHEMBL904,CHEMBL238,,,INHIBITOR,Dopamine transporter inhibitor,Dexmethylphenidate hydrochloride
CHEMBL904,CHEMBL222,,,INHIBITOR,Norepinephrine transporter inhibitor,Dexmethylphenidate hydrochloride
CHEMBL1200778,CHEMBL2094255,,,INHIBITOR,DNA topoisomerase II inhibitor,Dexrazoxane hydrochloride
CHEMBL1200778,CHEMBL2363058,,,CHELATING AGENT,Iron chelating agent,Dexrazoxane hydrochloride
CHEMBL3544971,CHEMBL238,,,RELEASING AGENT,Dopamine transporter releasing agent,Dextroamphetamine sulfate
CHEMBL3544971,CHEMBL222,,,RELEASING AGENT,Norepinephrine transporter releasing agent,Dextroamphetamine sulfate
CHEMBL3544971,CHEMBL1893,,,INHIBITOR,Synaptic vesicular amine transporter inhibitor,Dextroamphetamine sulfate
CHEMBL1200581,,,,,Diagnostic agent,Diatrizoate sodium
CHEMBL12,CHEMBL2093872,,,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,Diazepam
CHEMBL181,CHEMBL1886,,,OPENER,"Potassium channel, inwardly rectifying, subfamily J, member 11 opener",Diazoxide
CHEMBL181,CHEMBL4770,,,OPENER,"Potassium channel, inwardly rectifying, subfamily J, member 8 opener",Diazoxide
CHEMBL17,CHEMBL261,,,INHIBITOR,Carbonic anhydrase I inhibitor,Dichlorphenamide
CHEMBL17,CHEMBL205,,,INHIBITOR,Carbonic anhydrase II inhibitor,Dichlorphenamide
CHEMBL17,CHEMBL3242,,,INHIBITOR,Carbonic anhydrase XII inhibitor,Dichlorphenamide
CHEMBL17,CHEMBL3729,,,INHIBITOR,Carbonic anhydrase IV inhibitor,Dichlorphenamide
CHEMBL1034,CHEMBL2094253,,,INHIBITOR,Cyclooxygenase inhibitor,Diclofenac sodium
CHEMBL1200701,CHEMBL2362972,,,INHIBITOR,Penicillin-binding protein inhibitor,Dicloxacillin sodium
CHEMBL1200479,CHEMBL245,,,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,Dicyclomine hydrochloride
CHEMBL1200479,CHEMBL216,,,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,Dicyclomine hydrochloride
CHEMBL1460,CHEMBL247,,,INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,Didanosine
CHEMBL1693,CHEMBL238,,,INHIBITOR,Dopamine transporter inhibitor,Diethylpropion hydrochloride
CHEMBL1693,CHEMBL222,,,INHIBITOR,Norepinephrine transporter inhibitor,Diethylpropion hydrochloride
CHEMBL898,CHEMBL2094253,,,INHIBITOR,Cyclooxygenase inhibitor,Diflunisal
CHEMBL1751,CHEMBL2095186,,,INHIBITOR,Sodium/potassium-transporting ATPase inhibitor,Digoxin
CHEMBL1200517,CHEMBL1983,,,AGONIST,Serotonin 1d (5-HT1d) receptor agonist,Dihydroergotamine mesylate
CHEMBL1697,CHEMBL2095229,,,BLOCKER,Voltage-gated L-type calcium channel blocker,Diltiazem hydrochloride
CHEMBL1200406,CHEMBL231,,,ANTAGONIST,Histamine H1 receptor antagonist,Dimenhydrinate
CHEMBL1597,CHEMBL2363053,,,CHELATING AGENT,Heavy metals chelating agent,Dimercaprol
CHEMBL2107333,CHEMBL2069156,,,INHIBITOR,Kelch-like ECH-associated protein 1 inhibitor,Dimethyl fumarate
CHEMBL1620,CHEMBL231,,,ANTAGONIST,Histamine H1 receptor antagonist,Diphenhydramine hydrochloride
CHEMBL932,CHEMBL1997,,,INHIBITOR,Equilibrative nucleoside transporter 1 inhibitor,Dipyridamole
CHEMBL932,CHEMBL2363066,,,INHIBITOR,"3',5'-cyclic phosphodiesterase inhibitor",Dipyridamole
CHEMBL3989944,CHEMBL2069156,,,INHIBITOR,Kelch-like ECH-associated protein 1 inhibitor,Diroximel fumarate
CHEMBL1201020,CHEMBL2331043,,,BLOCKER,Sodium channel alpha subunit blocker,Disopyramide phosphate
CHEMBL964,CHEMBL1935,,,INHIBITOR,Aldehyde dehydrogenase inhibitor,Disulfiram
CHEMBL2105613,CHEMBL1911,,,INHIBITOR,Succinate semialdehyde dehydrogenase inhibitor,Divalproex sodium
CHEMBL1200418,CHEMBL213,,,AGONIST,Beta-1 adrenergic receptor agonist,Dobutamine hydrochloride
CHEMBL1200418,CHEMBL210,,,AGONIST,Beta-2 adrenergic receptor agonist,Dobutamine hydrochloride
CHEMBL3545252,CHEMBL2095182,,,INHIBITOR,Tubulin inhibitor,Docetaxel
CHEMBL473,CHEMBL240,,,BLOCKER,HERG blocker,Dofetilide
CHEMBL2368924,CHEMBL1899,,,ANTAGONIST,Serotonin 3a (5-HT3a) receptor antagonist,Dolasetron mesylate
CHEMBL1213165,CHEMBL3471,,,INHIBITOR,Human immunodeficiency virus type 1 integrase inhibitor,Dolutegravir sodium
CHEMBL1678,CHEMBL220,,,INHIBITOR,Acetylcholinesterase inhibitor,Donepezil hydrochloride
CHEMBL1557,CHEMBL213,,,AGONIST,Beta-1 adrenergic receptor agonist,Dopamine hydrochloride
CHEMBL2364608,CHEMBL247,,,NEGATIVE ALLOSTERIC MODULATOR,Human immunodeficiency virus type 1 reverse transcriptase negative allosteric modulator,Doravirine
CHEMBL491571,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Doripenem
CHEMBL3989519,CHEMBL2321613,,,BLOCKER,Potassium channel subfamily K member 3 blocker,Doxapram hydrochloride
CHEMBL3989519,CHEMBL2321614,,,BLOCKER,Potassium channel subfamily K member 9 blocker,Doxapram hydrochloride
CHEMBL1200561,CHEMBL2094251,,,ANTAGONIST,Adrenergic receptor alpha-1 antagonist,Doxazosin mesylate
CHEMBL1628234,CHEMBL222,,,INHIBITOR,Norepinephrine transporter inhibitor,Doxepin hydrochloride
CHEMBL1200810,CHEMBL1977,,,AGONIST,Vitamin D receptor agonist,Doxercalciferol
CHEMBL359744,CHEMBL1806,,,INHIBITOR,DNA topoisomerase II alpha inhibitor,Doxorubicin hydrochloride
CHEMBL359744,CHEMBL2311221,,,INHIBITOR,DNA inhibitor,Doxorubicin hydrochloride
CHEMBL1200699,CHEMBL4073,,,INHIBITOR,Matrix metalloproteinase 7 inhibitor,Doxycycline
CHEMBL1200699,CHEMBL4588,,,INHIBITOR,Matrix metalloproteinase 8 inhibitor,Doxycycline
CHEMBL1200699,CHEMBL280,,,INHIBITOR,Matrix metalloproteinase 13 inhibitor,Doxycycline
CHEMBL1200699,CHEMBL332,,,INHIBITOR,Matrix metalloproteinase-1 inhibitor,Doxycycline
CHEMBL1200699,CHEMBL2363135,,,INHIBITOR,Bacterial 70S ribosome inhibitor,Doxycycline
CHEMBL1200392,CHEMBL231,,,ANTAGONIST,Histamine H1 receptor antagonist,Doxylamine succinate
CHEMBL465,CHEMBL218,,,AGONIST,Cannabinoid CB1 receptor agonist,Dronabinol
CHEMBL1201729,CHEMBL2095229,,,BLOCKER,Voltage-gated L-type calcium channel blocker,Dronedarone hydrochloride
CHEMBL1201729,CHEMBL2331043,,,BLOCKER,Sodium channel alpha subunit blocker,Dronedarone hydrochloride
CHEMBL1201729,CHEMBL1914276,,,BLOCKER,Inward rectifier potassium channel 2 blocker,Dronedarone hydrochloride
CHEMBL1201729,CHEMBL1250417,,,BLOCKER,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 blocker,Dronedarone hydrochloride
CHEMBL1108,CHEMBL224,,,ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist,Droperidol
CHEMBL1108,CHEMBL2331075,,,ANTAGONIST,D2-like dopamine receptor antagonist,Droperidol
CHEMBL2103827,CHEMBL2331074,,,AGONIST,Adrenergic receptor agonist,Droxidopa
CHEMBL1200328,CHEMBL228,,,INHIBITOR,Serotonin transporter inhibitor,Duloxetine hydrochloride
CHEMBL1200328,CHEMBL222,,,INHIBITOR,Norepinephrine transporter inhibitor,Duloxetine hydrochloride
CHEMBL1200969,CHEMBL2363075,,,INHIBITOR,Steroid 5-alpha-reductase inhibitor,Dutasteride
CHEMBL1752,CHEMBL2093863,,,INHIBITOR,Phosphodiesterase 4 inhibitor,Dyphylline
CHEMBL1752,CHEMBL241,,,INHIBITOR,Phosphodiesterase 3A inhibitor,Dyphylline
CHEMBL1742471,CHEMBL1941,,,ANTAGONIST,Histamine H2 receptor antagonist,Ebrotidine
CHEMBL1742471,CHEMBL5325,,,INHIBITOR,Urease inhibitor,Ebrotidine
CHEMBL290916,,,,,Unknown,Edaravone
CHEMBL3989522,,,,,Unknown,Edetate calcium disodium
CHEMBL2105682,CHEMBL244,,,INHIBITOR,Coagulation factor X inhibitor,Edoxaban tosylate
CHEMBL1128,CHEMBL220,,,INHIBITOR,Acetylcholinesterase inhibitor,Edrophonium chloride
CHEMBL223228,CHEMBL247,,,INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,Efavirenz
CHEMBL502182,CHEMBL1855,,,ANTAGONIST,Gonadotropin-releasing hormone receptor antagonist,Elagolix sodium
CHEMBL1201003,CHEMBL1805,,,AGONIST,Serotonin 1f (5-HT1f) receptor agonist,Eletriptan hydrobromide
CHEMBL1201003,CHEMBL1898,,,AGONIST,Serotonin 1b (5-HT1b) receptor agonist,Eletriptan hydrobromide
CHEMBL1201003,CHEMBL1983,,,AGONIST,Serotonin 1d (5-HT1d) receptor agonist,Eletriptan hydrobromide
CHEMBL5723563,CHEMBL2063,,,INHIBITOR,Ceramide glucosyltransferase inhibitor,Eliglustat tartrate
CHEMBL3989691,CHEMBL1864,,,AGONIST,Thrombopoietin receptor agonist,Eltrombopag olamine
CHEMBL2159122,CHEMBL233,,,AGONIST,Mu opioid receptor agonist,Eluxadoline
CHEMBL2107830,CHEMBL3884,,,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor,Empagliflozin
CHEMBL885,CHEMBL247,,,INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,Emtricitabine
CHEMBL1200659,CHEMBL1808,,,INHIBITOR,Angiotensin-converting enzyme inhibitor,Enalapril maleate
CHEMBL3989406,CHEMBL1808,,,INHIBITOR,Angiotensin-converting enzyme inhibitor,Enalaprilat
CHEMBL3989931,CHEMBL3991501,,,INHIBITOR,"Isocitrate dehydrogenase [NADP], mitochondrial inhibitor",Enasidenib mesylate
CHEMBL3989931,CHEMBL3991501,,,INHIBITOR,"Isocitrate dehydrogenase [NADP], mitochondrial inhibitor",Enasidenib mesylate
CHEMBL3301612,CHEMBL5145,,,INHIBITOR,Serine/threonine-protein kinase B-raf inhibitor,Encorafenib
CHEMBL953,CHEMBL2023,,,INHIBITOR,Catechol O-methyltransferase inhibitor,Entacapone
CHEMBL5314362,CHEMBL2362994,,,INHIBITOR,DNA polymerase/reverse transcriptase inhibitor,Entecavir
CHEMBL1983268,CHEMBL3559684,,,INHIBITOR,Neurotrophic tyrosine kinase receptor inhibitor,Entrectinib
CHEMBL1983268,CHEMBL5568,,,INHIBITOR,Proto-oncogene tyrosine-protein kinase ROS inhibitor,Entrectinib
CHEMBL1983268,CHEMBL4247,,,INHIBITOR,ALK tyrosine kinase receptor inhibitor,Entrectinib
CHEMBL1082407,CHEMBL1871,,,ANTAGONIST,Androgen Receptor antagonist,Enzalutamide
CHEMBL1523964,CHEMBL2331074,,,AGONIST,Adrenergic receptor agonist,Ephedrine sulfate
CHEMBL679,CHEMBL2331074,,,AGONIST,Adrenergic receptor agonist,Epinephrine
CHEMBL1200981,CHEMBL2311221,,,INHIBITOR,DNA inhibitor,Epirubicin hydrochloride
CHEMBL1095097,CHEMBL1994,,,ANTAGONIST,Mineralocorticoid receptor antagonist,Eplerenone
CHEMBL962,CHEMBL1995,,,AGONIST,Prostanoid IP receptor agonist,Epoprostenol sodium
CHEMBL1200987,CHEMBL227,,,ANTAGONIST,Type-1 angiotensin II receptor antagonist,Eprosartan mesylate
CHEMBL2219414,CHEMBL2363135,,,INHIBITOR,Bacterial 70S ribosome inhibitor,Eravacycline dihydrochloride
CHEMBL3545376,CHEMBL2095217,,,INHIBITOR,Fibroblast growth factor receptor inhibitor,Erdafitinib
CHEMBL1536,CHEMBL1977,,,AGONIST,Vitamin D receptor agonist,Ergocalciferol
CHEMBL1683544,CHEMBL2095182,,,INHIBITOR,Tubulin inhibitor,Eribulin mesylate
CHEMBL1079742,CHEMBL203,,,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,Erlotinib hydrochloride
CHEMBL1232,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Ertapenem sodium
CHEMBL1770248,CHEMBL3884,,,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor,Ertugliflozin
CHEMBL2218877,CHEMBL2363135,,,INHIBITOR,Bacterial 70S ribosome inhibitor,Erythromycin estolate
CHEMBL1200322,CHEMBL228,,,INHIBITOR,Serotonin transporter inhibitor,Escitalopram oxalate
CHEMBL87992,CHEMBL2331043,,,BLOCKER,Sodium channel alpha subunit blocker,Eslicarbazepine acetate
CHEMBL1201115,CHEMBL213,,,ANTAGONIST,Beta-1 adrenergic receptor antagonist,Esmolol hydrochloride
CHEMBL1201115,CHEMBL210,,,ANTAGONIST,Beta-2 adrenergic receptor antagonist,Esmolol hydrochloride
CHEMBL1200470,CHEMBL2095173,,,INHIBITOR,Potassium-transporting ATPase inhibitor,Esomeprazole sodium
CHEMBL285674,CHEMBL2093872,,,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,Estazolam
CHEMBL1511,CHEMBL206,,,AGONIST,Estrogen receptor alpha agonist,Estradiol valerate
CHEMBL1200721,CHEMBL242,,,MODULATOR,Estrogen receptor beta modulator,Estramustine phosphate sodium
CHEMBL1200721,CHEMBL2311221,,,INHIBITOR,DNA inhibitor,Estramustine phosphate sodium
CHEMBL1405,CHEMBL206,,,AGONIST,Estrogen receptor alpha agonist,Estrone
CHEMBL1200980,CHEMBL206,,,AGONIST,Estrogen receptor alpha agonist,Estropipate
CHEMBL1522,CHEMBL2093872,,,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,Eszopiclone
CHEMBL456,CHEMBL1874,,,INHIBITOR,Sodium-(potassium)-chloride cotransporter 2 inhibitor,Ethacrynic acid
CHEMBL3140361,CHEMBL1877,,,INHIBITOR,Arabinosyltransferase A inhibitor,Ethambutol hydrochloride
CHEMBL3989529,CHEMBL2364030,,,CHELATING AGENT,Calcium chelating agent,Ethanolamine oleate
CHEMBL1441,CHEMBL1849,,,INHIBITOR,Enoyl-[acyl-carrier-protein] reductase inhibitor,Ethionamide
CHEMBL696,CHEMBL2362995,,,BLOCKER,Voltage-gated T-type calcium channel blocker,Ethosuximide
CHEMBL1095,CHEMBL2331043,,,BLOCKER,Sodium channel alpha subunit blocker,Ethotoin
CHEMBL1201042,CHEMBL2366048,,,INHIBITOR,ATP inhibitor,Etidronate disodium
CHEMBL622,CHEMBL230,,,INHIBITOR,Cyclooxygenase-2 inhibitor,Etodolac
CHEMBL681,CHEMBL2093872,,,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator,Etomidate
