query_name,chembl_id,smiles,inchi_key,molecule_type,status
Benznidazole,CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,CULUWZNBISUWAS-UHFFFAOYSA-N,Small molecule,ok
Benzonatate,CHEMBL1374379,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,MAFMQEKGGFWBAB-UHFFFAOYSA-N,Small molecule,ok
Benzphetamine hydrochloride,CHEMBL3544906,C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1.Cl,ANFSNXAXVLRZCG-RSAXXLAASA-N,Small molecule,ok
Benztropine mesylate,CHEMBL1200383,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2.CS(=O)(=O)O,CPFJLLXFNPCTDW-BWSPSPBFSA-N,Small molecule,ok
Benzylpenicilloyl polylysine,CHEMBL1201779,,,Small molecule,non_small_or_no_smiles
Berotralstat hydrochloride,CHEMBL6067995,Cl.Cl.N#Cc1cccc([C@@H](NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1,XFZLBLTUANGZBD-QDSLRZTOSA-N,Small molecule,ok
Betaine,CHEMBL95889,C[N+](C)(C)CC(=O)O,KWIUHFFTVRNATP-UHFFFAOYSA-O,Small molecule,ok
Betaxolol hydrochloride,CHEMBL1691,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1.Cl,CHDPSNLJFOQTRK-UHFFFAOYSA-N,Small molecule,ok
Bethanechol chloride,CHEMBL1768,CC(C[N+](C)(C)C)OC(N)=O.[Cl-],XXRMYXBSBOVVBH-UHFFFAOYSA-N,Small molecule,ok
Betrixaban,CHEMBL512351,COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2)c(C(=O)Nc2ccc(Cl)cn2)c1,XHOLNRLADUSQLD-UHFFFAOYSA-N,Small molecule,ok
Bevacizumab,CHEMBL1201583,,,Antibody,non_small_or_no_smiles
Bexarotene,CHEMBL1023,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,NAVMQTYZDKMPEU-UHFFFAOYSA-N,Small molecule,ok
Bicalutamide,CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,LKJPYSCBVHEWIU-UHFFFAOYSA-N,Small molecule,ok
Binimetinib,CHEMBL3187723,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,ACWZRVQXLIRSDF-UHFFFAOYSA-N,Small molecule,ok
Biperiden hydrochloride,CHEMBL1201035,Cl.OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,RDNLAULGBSQZMP-UHFFFAOYSA-N,Small molecule,ok
Bisacodyl,CHEMBL942,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,KHOITXIGCFIULA-UHFFFAOYSA-N,Small molecule,ok
Bisoprolol fumarate,CHEMBL1472989,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.O=C(O)/C=C/C(=O)O,VMDFASMUILANOL-WXXKFALUSA-N,Small molecule,ok
Bivalirudin,CHEMBL5314348,,,Protein,non_small_or_no_smiles
Bleomycin sulfate,CHEMBL6067493,,,Unknown,non_small_or_no_smiles
Bortezomib,CHEMBL325041,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,GXJABQQUPOEUTA-RDJZCZTQSA-N,Small molecule,ok
Bosentan,CHEMBL957,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,GJPICJJJRGTNOD-UHFFFAOYSA-N,Small molecule,ok
Bosutinib monohydrate,CHEMBL2095206,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl.O,BXPOSPOKHGNMEP-UHFFFAOYSA-N,Small molecule,ok
Botulinum toxin type a,CHEMBL4297862,,,Protein,non_small_or_no_smiles
Botulinum toxin type b,CHEMBL1201569,,,Protein,non_small_or_no_smiles
Bremelanotide acetate,CHEMBL4297533,CC(=O)O.CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O,MAYUSRUHXFWITM-GBRHMYBBSA-N,Protein,non_small_or_no_smiles
Brexanolone,CHEMBL207538,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,AURFZBICLPNKBZ-SYBPFIFISA-N,Small molecule,ok
Brexpiprazole,CHEMBL2105760,O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,ZKIAIYBUSXZPLP-UHFFFAOYSA-N,Small molecule,ok
Brigatinib,CHEMBL3545311,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,AILRADAXUVEEIR-UHFFFAOYSA-N,Small molecule,ok
Brilliant blue g,CHEMBL4173394,CCOc1ccc(Nc2ccc(/C(=C3/C=C/C(=[N+](/CC)Cc4cccc(S(=O)(=O)[O-])c4)C=C3C)c3ccc(N(CC)Cc4cccc(S(=O)(=O)[O-])c4)cc3C)cc2)cc1.[Na+],RWVGQQGBQSJDQV-UHFFFAOYSA-M,Small molecule,ok
Brivaracetam,CHEMBL607400,CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1,MSYKRHVOOPPJKU-BDAKNGLRSA-N,Small molecule,ok
Bromfenac sodium,CHEMBL3181947,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.O.O.O.[Na+].[Na+],PPOSVVJOVKVBPW-UHFFFAOYSA-L,Small molecule,ok
Bromocriptine mesylate,CHEMBL1200503,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.CS(=O)(=O)O,NOJMTMIRQRDZMT-GSPXQYRGSA-N,Small molecule,ok
Brompheniramine maleate,CHEMBL1200961,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,SRGKFVAASLQVBO-BTJKTKAUSA-N,Small molecule,ok
Budesonide,CHEMBL1370,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,VOVIALXJUBGFJZ-KWVAZRHASA-N,Small molecule,ok
Bumetanide,CHEMBL1072,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,MAEIEVLCKWDQJH-UHFFFAOYSA-N,Small molecule,ok
Bupropion hydrochloride,CHEMBL1698,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1.Cl,HEYVINCGKDONRU-UHFFFAOYSA-N,Small molecule,ok
Buspirone hydrochloride,CHEMBL1200399,Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,RICLFGYGYQXUFH-UHFFFAOYSA-N,Small molecule,ok
Busulfan,CHEMBL820,CS(=O)(=O)OCCCCOS(C)(=O)=O,COVZYZSDYWQREU-UHFFFAOYSA-N,Small molecule,ok
Butabarbital sodium,CHEMBL1200982,CCC(C)C1(CC)C(=O)[N-]C(=O)NC1=O.[Na+],QORQZMBCPRBCAB-UHFFFAOYSA-M,Small molecule,ok
Butorphanol tartrate,CHEMBL299400,O=C(O)C(O)C(O)C(=O)O.Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,GMTYREVWZXJPLF-SXWPHCFWSA-N,Small molecule,ok
Cabazitaxel,CHEMBL1201748,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,BMQGVNUXMIRLCK-OAGWZNDDSA-N,Small molecule,ok
Cabergoline,CHEMBL1201087,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,KORNTPPJEAJQIU-KJXAQDMKSA-N,Small molecule,ok
Cabotegravir sodium,CHEMBL3137330,C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c([O-])c3C(=O)N12.[Na+],AEZBWGMXBKPGFP-KIUAEZIZSA-M,Small molecule,ok
Cabozantinib s-malate,CHEMBL2103868,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC.O=C(O)C[C@H](O)C(=O)O,HFCFMRYTXDINDK-WNQIDUERSA-N,Small molecule,ok
Caffeine citrate,CHEMBL1200569,Cn1c(=O)c2c(ncn2C)n(C)c1=O.O=C(O)CC(O)(CC(=O)O)C(=O)O,RCQXSQPPHJPGOF-UHFFFAOYSA-N,Small molecule,ok
Calcitonin salmon,CHEMBL3989767,CC(C)C[C@H](NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(N)=O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O,BBBFJLBPOGFECG-VJVYQDLKSA-N,Protein,non_small_or_no_smiles
Calcitriol,CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,GMRQFYUYWCNGIN-NKMMMXOESA-N,Small molecule,ok
Calcium acetate,CHEMBL1200800,CC(=O)[O-].CC(=O)[O-].[Ca+2],VSGNNIFQASZAOI-UHFFFAOYSA-L,Small molecule,ok
Canagliflozin,CHEMBL4594217,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1.O,RCCZPUWDQVUJAB-FVYJGOGTSA-N,Small molecule,ok
Canakinumab,CHEMBL1201834,,,Antibody,non_small_or_no_smiles
Candesartan cilexetil,CHEMBL1014,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,GHOSNRCGJFBJIB-UHFFFAOYSA-N,Small molecule,ok
Cangrelor,CHEMBL334966,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)[C@@H](O)[C@H]1O,PAEBIVWUMLRPSK-IDTAVKCVSA-N,Small molecule,ok
Cannabidiol,CHEMBL190461,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,QHMBSVQNZZTUGM-ZWKOTPCHSA-N,Small molecule,ok
Capecitabine,CHEMBL1773,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,GAGWJHPBXLXJQN-UORFTKCHSA-N,Small molecule,ok
Capmatinib hydrochloride,CHEMBL3989937,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F.Cl.Cl.O,COWBUPJEEDYWKD-UHFFFAOYSA-N,Small molecule,ok
Capreomycin sulfate,CHEMBL2218913,C[C@@H]1NC(=O)[C@@H](N)CNC(=O)[C@H](C2CCNC(=N)N2)NC(=O)/C(=C/NC(N)=O)NC(=O)[C@H](CNC(=O)CC(N)CCCN)NC1=O.N=C1NCCC([C@@H]2NC(=O)/C(=C/NC(N)=O)NC(=O)[C@H](CNC(=O)CC(N)CCCN)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CNC2=O)N1.O=S(=O)(O)O.O=S(=O)(O)O,TUATYNXRYJTQTQ-BVRBKCERSA-N,Protein,non_small_or_no_smiles
Captopril,CHEMBL1560,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,FAKRSMQSSFJEIM-RQJHMYQMSA-N,Small molecule,ok
Carbamazepine,CHEMBL108,NC(=O)N1c2ccccc2C=Cc2ccccc21,FFGPTBGBLSHEPO-UHFFFAOYSA-N,Small molecule,ok
Carbenicillin disodium,CHEMBL606260,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)[O-])c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+].[Na+],RTYJTGSCYUUYAL-YCAHSCEMSA-L,Small molecule,ok
Carbidopa,CHEMBL1200748,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O.O,QTAOMKOIBXZKND-PPHPATTJSA-N,Small molecule,ok
Carbinoxamine maleate,CHEMBL1200974,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,GVNWHCVWDRNXAZ-BTJKTKAUSA-N,Small molecule,ok
Carboplatin,CHEMBL1351,,,Small molecule,non_small_or_no_smiles
Carboprost tromethamine,CHEMBL1237105,CCCCC[C@](C)(O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O.NC(CO)(CO)CO,UMMADZJLZAPZAW-XOWPVRJPSA-N,Small molecule,ok
Carfilzomib,CHEMBL451887,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,BLMPQMFVWMYDKT-NZTKNTHTSA-N,Protein,non_small_or_no_smiles
Carglumic acid,CHEMBL1201780,NC(=O)N[C@@H](CCC(=O)O)C(=O)O,LCQLHJZYVOQKHU-VKHMYHEASA-N,Small molecule,ok
Cariprazine hydrochloride,CHEMBL2024517,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1.Cl,GPPJWWMREQHLQT-BHQIMSFRSA-N,Small molecule,ok
Carisoprodol,CHEMBL1233,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,OFZCIYFFPZCNJE-UHFFFAOYSA-N,Small molecule,ok
Carvedilol,CHEMBL723,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,OGHNVEJMJSYVRP-UHFFFAOYSA-N,Small molecule,ok
Casimersen,CHEMBL4297566,,,Oligonucleotide,non_small_or_no_smiles
Caspofungin acetate,CHEMBL5314378,CC(=O)O.CC(=O)O.CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,OGUJBRYAAJYXQP-IJFZAWIJSA-N,Small molecule,ok
Cefaclor,CHEMBL1201018,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1.O,WKJGTOYAEQDNIA-IOOZKYRYSA-N,Small molecule,ok
Cefadroxil hemihydrate,CHEMBL1644,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,BOEGTKLJZSQCCD-UEKVPHQBSA-N,Small molecule,ok
Cefazolin sodium,CHEMBL1200523,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1.[Na+],FLKYBGKDCCEQQM-WYUVZMMLSA-M,Small molecule,ok
Cefdinir,CHEMBL927,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,RTXOFQZKPXMALH-GHXIOONMSA-N,Small molecule,ok
Cefditoren pivoxil,CHEMBL454446,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(/C=C\c3scnc3C)CS[C@H]12)c1csc(N)n1,AFZFFLVORLEPPO-UVYJNCLZSA-N,Small molecule,ok
Cefepime hydrochloride,CHEMBL1200962,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1.Cl.O.[Cl-],LRAJHPGSGBRUJN-OMIVUECESA-N,Small molecule,ok
Cefiderocol sulfate tosylate,CHEMBL4297211,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(CCNC(=O)c4ccc(O)c(O)c4Cl)CCCC3)CS[C@H]12)c1csc(N)n1)C(=O)O.CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(CCNC(=O)c4ccc(O)c(O)c4Cl)CCCC3)CS[C@H]12)c1csc(N)n1)C(=O)O.CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(CCNC(=O)c4ccc(O)c(O)c4Cl)CCCC3)CS[C@H]12)c1csc(N)n1)C(=O)O.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)[O-])cc1.O.O=S(=O)([O-])[O-],QNMVZYPDWLKAJC-RXVBEKIDSA-N,Small molecule,ok
Cefixime,CHEMBL1541,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,OKBVVJOGVLARMR-QSWIMTSFSA-N,Small molecule,ok
Cefoperazone sodium,CHEMBL1200482,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O.[Na+],NCFTXMQPRQZFMZ-WERGMSTESA-M,Small molecule,ok
Cefotaxime sodium,CHEMBL1010,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1.[Na+],AZZMGZXNTDTSME-JUZDKLSSSA-M,Small molecule,ok
Cefotetan disodium,CHEMBL1201098,CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)[O-])S2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21.[Na+].[Na+],ZQQALMSFFARWPK-GLHLDKNHSA-L,Small molecule,ok
Cefoxitin sodium,CHEMBL1200530,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@@H]21.[Na+],GNWUOVJNSFPWDD-XMZRARIVSA-M,Small molecule,ok
Cefpodoxime proxetil,CHEMBL1201016,COCC1=C(C(=O)OC(C)OC(=O)OC(C)C)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,LTINZAODLRIQIX-FBXRGJNPSA-N,Small molecule,ok
Cefprozil,CHEMBL3301800,CC=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,WDLWHQDACQUCJR-PBFPGSCMSA-N,Small molecule,ok
Ceftaroline fosamil,CHEMBL501122,CCO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CS[C@H]12)c1nsc(NP(=O)(O)O)n1,ZCCUWMICIWSJIX-NQJJCJBVSA-N,Small molecule,ok
Ceftazidime,CHEMBL44354,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,ORFOPKXBNMVMKC-DWVKKRMSSA-N,Small molecule,ok
Ceftibuten dihydrate,CHEMBL1200985,Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1.O.O,SSWTVBYDDFPFAF-DKOGRLLHSA-N,Small molecule,ok
Ceftizoxime sodium,CHEMBL1201019,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=CCS[C@H]12)c1csc(N)n1.[Na+],ADLFUPFRVXCDMO-LIGXYSTNSA-M,Small molecule,ok
Ceftriaxone sodium,CHEMBL6067656,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c([O-])nn3C)CS[C@H]12)c1csc(N)n1.CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c([O-])nn3C)CS[C@H]12)c1csc(N)n1.O.O.O.O.O.O.O.[Na+].[Na+].[Na+].[Na+],KTAVBOYXMBQFGR-MAODNAKNSA-J,Small molecule,ok
Cefuroxime sodium,CHEMBL2146124,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@H]12)c1ccco1.[Na+],URDOHUPGIOGTKV-JTBFTWTJSA-M,Small molecule,ok
Celecoxib,CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,RZEKVGVHFLEQIL-UHFFFAOYSA-N,Small molecule,ok
Cenobamate,CHEMBL3989949,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,GFHAXPJGXSQLPT-VIFPVBQESA-N,Small molecule,ok
Cephalexin,CHEMBL1200544,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1.O,AVGYWQBCYZHHPN-CYJZLJNKSA-N,Small molecule,ok
Cephradine,CHEMBL1604,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,RDLPVSKMFDYCOR-UEKVPHQBSA-N,Small molecule,ok
Ceritinib,CHEMBL2403108,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,VERWOWGGCGHDQE-UHFFFAOYSA-N,Small molecule,ok
Certolizumab pegol,CHEMBL1201831,,,Antibody,non_small_or_no_smiles
Cetirizine hydrochloride,CHEMBL1607273,Cl.Cl.O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,PGLIUCLTXOYQMV-UHFFFAOYSA-N,Small molecule,ok
Cetrorelix acetate,CHEMBL2103735,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O.CC(=O)O,KFEFLCOCAHJBEA-ANRVCLKPSA-N,Protein,non_small_or_no_smiles
Cetuximab,CHEMBL1201577,,,Antibody,non_small_or_no_smiles
Cevimeline hydrochloride,CHEMBL2218917,CC1OC2(CS1)CN1CCC2CC1.Cl.O,JKJRNPOQQPBPOV-UHFFFAOYSA-N,Small molecule,ok
Chenodiol,CHEMBL240597,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,RUDATBOHQWOJDD-BSWAIDMHSA-N,Small molecule,ok
Chlorambucil,CHEMBL515,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,JCKYGMPEJWAADB-UHFFFAOYSA-N,Small molecule,ok
Chloramphenicol,CHEMBL130,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,WIIZWVCIJKGZOK-RKDXNWHRSA-N,Small molecule,ok
Chlorcyclizine hydrochloride,CHEMBL1889091,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1.Cl,MSIJLVMSKDXAQN-UHFFFAOYSA-N,Small molecule,ok
Chlordiazepoxide hydrochloride,CHEMBL1200703,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1.Cl,DMLFJMQTNDSRFU-UHFFFAOYSA-N,Small molecule,ok
Chlormezanone,CHEMBL1200714,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,Small molecule,ok
Chloroquine phosphate,CHEMBL58510,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=P(O)(O)O.O=P(O)(O)O,QKICWELGRMTQCR-UHFFFAOYSA-N,Small molecule,ok
Chlorothiazide,CHEMBL842,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,JBMKAUGHUNFTOL-UHFFFAOYSA-N,Small molecule,ok
Chlorpheniramine maleate,CHEMBL1659,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,DBAKFASWICGISY-BTJKTKAUSA-N,Small molecule,ok
Chlorpromazine hydrochloride,CHEMBL1713,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl,FBSMERQALIEGJT-UHFFFAOYSA-N,Small molecule,ok
Chlorpropamide,CHEMBL498,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,RKWGIWYCVPQPMF-UHFFFAOYSA-N,Small molecule,ok
Chlorthalidone,CHEMBL1055,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,JIVPVXMEBJLZRO-UHFFFAOYSA-N,Small molecule,ok
Chlorzoxazone,CHEMBL1371,O=c1[nH]c2cc(Cl)ccc2o1,TZFWDZFKRBELIQ-UHFFFAOYSA-N,Small molecule,ok
Cholestyramine,CHEMBL1201625,,,Unknown,non_small_or_no_smiles
